"ADDRESS","DISTANCE","ARRL_SECT","BAND","CALL","CNTY","COMMENT","CONT","CONTEST_ID","CQZ","APP_LOGGER32_USER_1","DXCC","FREQ","GRIDSQUARE","IOTA","ITUZ","APP_LOGGER32_USER_2","APP_LOGGER32_USER_3","MODE","SUBMODE","NAME","NOTES","OPERATOR","PFX","PROP_MODE","QSL_RCVD","QSL_SENT","QSL_VIA","QSLMSG","QSLRDATE","QSLSDATE","QSO_DATE","APP_LOGGER32_QSO_DATE","QTH","RST_RCVD","RST_SENT","RX_PWR","SAT_MODE","SAT_NAME","SRX","SRX_STRING","STATE","STX","STX_STRING","K_INDEX","TEN_TEN","SOTA_REF","TIME_ON","TIME_OFF","TX_PWR","SFI","A_INDEX","eQSL_QSL_SENT","eQSL_QSL_RCVD","LOTW_QSL_SENT","LOTW_QSL_RCVD","FREQ_RX","BAND_RX","CREDIT_SUBMITTED","CREDIT_GRANTED","APP_LOGGER32_QSO_NUMBER","APP_LOGGER32_LOTW","APP_LOGGER32_QSL","APP_LOGGER32_eQSL","APP_LOGGER32_SUBMITFORDXCC"
"","","","70cm","BG7TTZ","","","AS","","24","","318","439.6","","","44","","","FM","FM","","南宁老友中继台网活动","BG7XTQ","BG7","","N","N","","","","","20221227","2022.12.27","","59","59","","","","","","","","","","","","13:54","14:00","5W","","","N","N","N","N","431.6","","","","00000001","N","N","N","N"
"","","","70cm","BG7XTJ","","","AS","","24","","318","439.6","","","44","","","FM","FM","","QTH位置不明","BG7XTQ","BG7","","N","N","","","","","20221231","2022.12.31","","59","59","","","","","","","","","","","","16:54","16:55","5W","","","N","N","N","N","431.6","","","","00000002","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","广西农科院","BG7XTQ","BG7","","N","N","","","","","20230102","2023.01.02","","","49","","","","","","","","","","","","12:48","13:06","5W","","","N","N","N","N","431.6","","","","00000003","N","N","N","N"
"","","","70cm","BG7XNQ","","","AS","","24","","318","439.6","","","44","","","FM","FM","","RIG:OS 9800、低功率、106天线、园湖东宝路口","BG7XTQ","BG7","","N","N","","","","","20230107","2023.01.07","","47","49","","","","","","","","","","","","12:53","13:03","5W","","","N","N","N","N","431.6","","","","00000004","N","N","N","N"
"","","","70cm","BG7SHK","","","AS","","24","","318","439.6","","","44","","","FM","FM","","QTH金湖广场","BG7XTQ","BG7","","N","N","","","","","20230108","2023.01.08","","59","49","5W","","","","","","","","","","","13:28","13:32","5W","","","N","N","N","N","431.6","","","","00000005","N","N","N","N"
"","","","70cm","BG7TJD","","","AS","","24","","318","439.6","","","44","","","FM","FM","","南宁老友中继台网活动","BG7XTQ","BG7","","N","N","","","","","20230127","2023.01.27","","58","59","","","","","","","","","","","","13:55","13:58","5W","","","N","N","N","N","431.6","","","","00000006","N","N","N","N"
"","","","70cm","BG7XTU","","","AS","","24","","318","439.6","","","44","","","FM","FM","","南宁老友中继台网活动","BG7XTQ","BG7","","N","N","","","","","20230227","2023.02.27","","59","59","","","","","","","","","","","","13:56","13:56","5W","","","N","N","N","N","431.6","","","","00000007","N","N","N","N"
"","","","70cm","BG7WSJ","","","AS","","24","","318","439.6","","","44","","","FM","FM","","泉盛、8600、原装天线、西乡塘区动物园科园大道","BG7XTQ","BG7","","N","N","","","","","20230306","2023.03.06","","48","59","","","","","","","","","","","","12:29","12:29","5W","","","N","N","N","N","431.6","","","","00000008","N","N","N","N"
"","","","70cm","BG8KRS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","四川来南宁的台友","BG7XTQ","BG8","","N","N","","","","","20230311","2023.03.11","","","59","","","","","","","","","","","","11:22","11:22","5W","","","N","N","N","N","431.6","","","","00000009","N","N","N","N"
"","","","70cm","BG7TJD","","","AS","","24","","318","439.6","","","44","","","FM","FM","","上上次的主控、摩托罗拉XTS3000、原装天线","BG7XTQ","BG7","","N","N","","","","","20230312","2023.03.12","","48","48","1.5W","","","","","","","","","","","13:29","13:29","5W","","","N","N","N","N","431.6","","","","00000010","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","鑫立6500、相思湖","BG7XTQ","BG7","","N","N","","","","","20230318","2023.03.18","","59","59","5W","","","","","","","","","","","14:11","14:23","5W","","","N","N","N","N","431.6","","","","00000011","N","N","N","N"
"","","","70cm","BG7RPC","","","AS","","24","","318","439.6","","","44","","","FM","FM","","森海克斯8600、四楼高、西乡塘区科园大道","BG7XTQ","BG7","","N","N","","","","","20230318","2023.03.18","","59","59","5W","","","","","","","","","","","14:23","14:23","5W","","","N","N","N","N","431.6","","","","00000012","N","N","N","N"
"","","","70cm","BG7TVG","","","AS","","24","","318","439.6","","","44","","","FM","FM","","建伍TM-471、QTH扶绥家里","BG7XTQ","BG7","","N","N","","","","","20230318","2023.03.18","","59","59","","","","","","","","","","","","14:24","14:24","5W","","","N","N","N","N","431.6","","","","00000013","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","滔滔链路","BG7XTQ","BG7","","N","N","","","","","20230323","2023.03.23","","59","59","","","","","","","","","","","","08:07","08:07","4W","","","N","N","N","N","431.6","","","","00000014","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","鑫利6500、15米高","BG7XTQ","BG7","","N","N","","","","","20230325","2023.03.25","","59","48","5W","","","","","","","","","","","13:31","13:31","","","","N","N","N","N","431.6","","","","00000015","N","N","N","N"
"","","","70cm","BG7QER","","","AS","","24","","318","439.6","","","44","","","FM","FM","","南宁老友中继台网活动","BG7XTQ","BG7","","N","N","","","","","20230327","2023.03.27","","","59","","","","","","","","","","","","13:47","13:47","","","","N","N","N","N","431.6","","","","00000016","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","438","","","44","","","FM","FM","","在民族宫必胜客Eyeball QSO","BG7XTQ","BG7","","N","Y","","","","20230429","20230409","2023.04.09","","46","47","","","","","","","","","","","","03:00","03:00","5W","","","N","N","N","N","438","","","","00000017","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","438","","","44","","","FM","FM","","在民族宫必胜客Eyeball QSO","BG7XTQ","BG7","","N","N","","","","","20230409","2023.04.09","","59","59","","","","","","","","","","","","06:25","06:25","5W","","","N","N","N","N","438","","","","00000018","N","N","N","N"
"","","","70cm","BG7JQL","","","AS","","24","","318","439.6","","","44","","","FM","FM","","泉盛UV-K5","BG7XTQ","BG7","","N","N","","","","","20230409","2023.04.09","","","48","","","","","","","","","","","","11:26","11:26","4W","","","N","N","N","N","431.6","","","","00000019","N","N","N","N"
"","","","70cm","BG7QVV","","","AS","","24","","318","439.6","","","44","","","FM","FM","","QTH柳沙","BG7XTQ","BG7","","N","N","","","","","20230409","2023.04.09","","","48","","","","","","","","","","","","11:27","11:27","4W","","","N","N","N","N","431.6","","","","00000020","N","N","N","N"
"","","","70cm","BG7QER","","","AS","","24","","318","439.6","","","44","","","FM","FM","","上月主控","BG7XTQ","BG7","","N","N","","","","","20230409","2023.04.09","","","48","","","","","","","","","","","","11:28","11:28","4W","","","N","N","N","N","431.6","","","","00000021","N","N","N","N"
"","","","70cm","BG7VGC","","","AS","","24","","318","439.6","","","44","","","FM","FM","","泉盛UV-K5、一米三天线、全功率发射","BG7XTQ","BG7","","N","N","","","","","20230409","2023.04.09","","","47","","","","","","","","","","","","11:33","11:33","4W","","","N","N","N","N","431.6","","","","00000022","N","N","N","N"
"","","","70cm","BG7XTW","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230409","2023.04.09","","59","47","","","","","","","","","","","","11:39","11:39","4W","","","N","N","N","N","431.6","","","","00000023","N","N","N","N"
"","","","70cm","BD4TUS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","新联、西乡塘区北湖北路广西农业职业技术大学","BG7XTQ","BD4","","N","N","","","","","20230409","2023.04.09","","","48","15W","","","","","","","","","","","12:18","12:18","4W","","","N","N","N","N","431.6","","","","00000024","N","N","N","N"
"","","","70cm","BG7QES","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230410","2023.04.10","","","35","","","","","","","","","","","","09:46","09:46","","","","N","N","N","N","431.6","","","","00000025","N","N","N","N"
"","","","70cm","BG7TVG","","","AS","","24","","318","439.6","","","44","","","FM","FM","","车台","BG7XTQ","BG7","","N","N","","","","","20230411","2023.04.11","","59","47","","","","","","","","","","","","12:58","12:58","5W","","","N","N","N","N","431.6","","","","00000026","N","N","N","N"
"","","","70cm","BD4TUS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","艾迪欧、广西农业职业技术大学","BG7XTQ","BD4","","N","N","","","","","20230412","2023.04.12","","","47","8W","","","","","","","","","","","11:29","11:29","","","","N","N","N","N","431.6","","","","00000027","N","N","N","N"
"","","","70cm","BG7QES","","","AS","","24","","318","439.6","","","44","","","FM","FM","","摩托罗拉、原装天线","BG7XTQ","BG7","","N","N","","","","","20230412","2023.04.12","","","48","2W","","","","","","","","","","","12:45","12:45","","","","N","N","N","N","431.6","","","","00000028","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230412","2023.04.12","","","59","","","","","","","","","","","","16:30","16:30","","","","N","N","N","N","431.6","","","","00000029","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","滔滔链路","BG7XTQ","BG7","","N","N","","","","","20230414","2023.04.14","","46","48","","","","","","","","","","","","14:10","14:10","","","","N","N","N","N","431.6","","","","00000030","N","N","N","N"
"","","","70cm","BG7QER","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230415","2023.04.15","","59","59","","","","","","","","","","","","12:00","12:00","","","","N","N","N","N","431.6","","","","00000031","N","N","N","N"
"","","","70cm","BG7JQL","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230416","2023.04.16","","","","","","","","","","","","","","","09:46","09:46","","","","N","N","N","N","431.6","","","","00000032","N","N","N","N"
"","","","70cm","BG7XUG","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230416","2023.04.16","","","","","","","","","","","","","","","09:58","09:58","","","","N","N","N","N","431.6","","","","00000033","N","N","N","N"
"","","","70cm","BG7TUQ","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230417","2023.04.17","","","","","","","","","","","","","","","11:04","11:04","","","","N","N","N","N","431.6","","","","00000034","N","N","N","N"
"","","","70cm","BD4XUG","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BD4","","N","N","","","","","20230417","2023.04.17","","","","","","","","","","","","","","","11:05","11:05","","","","N","N","N","N","431.6","","","","00000035","N","N","N","N"
"","","","70cm","BG7QER","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230422","2023.04.22","","","","","","","","","","","","","","","12:02","12:02","","","","N","N","N","N","431.6","","","","00000036","N","N","N","N"
"","","","70cm","BG7QES","","","AS","","24","","318","439.6","","","44","","","FM","FM","“勾机佬”","","BG7XTQ","BG7","","N","N","","","","","20230424","2023.04.24","","","","","","","","","","","","","","","04:45","04:45","","","","N","N","N","N","431.6","","","","00000037","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230425","2023.04.25","","59","59","","","","","","","","","","","","13:46","14:09","","","","N","N","N","N","431.6","","","","00000038","N","N","N","N"
"","","","70cm","BG7QES","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230426","2023.04.26","","59","59","","","","","","","","","","","","03:28","03:28","5W","","","N","N","N","N","431.6","","","","00000039","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230426","2023.04.26","","59","59","","","","","","","","","","","","05:56","05:56","4W","","","N","N","N","N","431.6","","","","00000040","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","","BG7XTQ","BG7","","N","N","","","","","20230426","2023.04.26","","","59","","","","","","","","","","","","11:57","11:57","5W","","","N","N","N","N","431.6","","","","00000041","N","N","N","N"
"","","","70cm","BG7QER","","","AS","","24","","318","439.6","","","44","","","FM","FM","","南宁老友439.600中继台点名活动","BG7XTQ","BG7","","N","N","","","","","20230426","2023.04.26","","","59","","","","","","","","","","","","13:40","13:40","4W","","","N","N","N","N","431.6","","","","00000042","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","艾迪欧UV-5118Plus、小型车载天线","BG7XTQ","BG7","","N","N","","","","","20230429","2023.04.29","","","59","5W","","","","","","","","","","","12:23","12:29","5W","","","N","N","N","N","431.6","","","","00000043","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","我的背噪很大、对方无法抄收","BG7XTQ","BG7","","N","N","","","","","20230430","2023.04.30","","","59","","","","","","","","","","","","01:01","01:01","5W","","","N","N","N","N","431.6","","","","00000044","N","N","N","N"
"","","","70cm","BG7XXB","","","AS","","24","","318","439.6","","","44","","","FM","FM","","在良庆区、靠近那马、使用设备摩托罗拉8668、原装天线、高功率","BG7XTQ","BG7","","N","N","","","","","20230430","2023.04.30","","58","58","3.5W","","","","","","","","","","","06:38","06:38","5W","","","N","N","N","N","431.6","","","","00000045","N","N","N","N"
"","","","70cm","BG7XSS","","","AS","","24","","318","439.6","","","44","","","FM","FM","","QTH相思湖公园、艾迪欧UV-5118Plus、低功率","BG7XTQ","BG7","","N","N","","","","","20230502","2023.05.02","","","49","1W","","","","","","","","","","","12:27","12:27","5W","","","N","N","N","N","431.6","","","","00000046","N","N","N","N"
"","","","70cm","BG7XWF","","","AS","","24","","318","437.8","","","44","","","FM","FM","","ISS卫星通联","BG7XTQ","BG7","","N","N","","","","","20230503","2023.05.03","","","59","","","","","","","","","","","","00:17","00:19","","","","N","N","N","N","145.99","","","","00000047","N","N","N","N"
